bankroll,bet,stop_loss,mode,success_rate,fail_rate,neutral_rate,score
1,1,0.95,flat,0.5214,0.4786,0.0,0.04279999999999995
1,1,0.9,flat,0.5214,0.4786,0.0,0.04279999999999995
1,1,0.8,flat,0.5214,0.4786,0.0,0.04279999999999995
1,1,0.7,flat,0.5214,0.4786,0.0,0.04279999999999995
1,1,0.95,percent,0.5214,0.4786,0.0,0.04279999999999995
1,1,0.9,percent,0.5214,0.4786,0.0,0.04279999999999995
1,1,0.8,percent,0.5214,0.4786,0.0,0.04279999999999995
1,1,0.7,percent,0.5214,0.4786,0.0,0.04279999999999995
1,1,0.95,percent,0.5214,0.4786,0.0,0.04279999999999995
2,1,0.95,flat,0.5202,0.4798,0.0,0.04039999999999999
2,1,0.9,flat,0.5202,0.4798,0.0,0.04039999999999999
2,1,0.8,flat,0.5202,0.4798,0.0,0.04039999999999999
2,1,0.7,flat,0.5202,0.4798,0.0,0.04039999999999999
2,2,0.95,flat,0.5202,0.4798,0.0,0.04039999999999999
2,1,0.95,percent,0.5202,0.4798,0.0,0.04039999999999999
2,1,0.9,percent,0.5202,0.4798,0.0,0.04039999999999999
2,1,0.8,percent,0.5202,0.4798,0.0,0.04039999999999999
2,1,0.7,percent,0.5202,0.4798,0.0,0.04039999999999999
2,1,0.95,percent,0.5202,0.4798,0.0,0.04039999999999999
3,1,0.95,flat,0.5209,0.4791,0.0,0.041800000000000004
3,1,0.9,flat,0.5209,0.4791,0.0,0.041800000000000004
3,1,0.8,flat,0.5209,0.4791,0.0,0.041800000000000004
3,1,0.7,flat,0.5209,0.4791,0.0,0.041800000000000004
3,2,0.95,flat,0.5209,0.4791,0.0,0.041800000000000004
3,1,0.95,percent,0.5209,0.4791,0.0,0.041800000000000004
3,1,0.9,percent,0.5209,0.4791,0.0,0.041800000000000004
3,1,0.8,percent,0.5209,0.4791,0.0,0.041800000000000004
3,1,0.7,percent,0.5209,0.4791,0.0,0.041800000000000004
3,1,0.95,percent,0.5209,0.4791,0.0,0.041800000000000004
4,1,0.7,flat,0.7154,0.2846,0.0,0.4308
4,1,0.95,flat,0.5041,0.4959,0.0,0.008199999999999985
4,1,0.9,flat,0.5041,0.4959,0.0,0.008199999999999985
4,1,0.8,flat,0.5041,0.4959,0.0,0.008199999999999985
4,2,0.95,flat,0.5041,0.4959,0.0,0.008199999999999985
4,1,0.7,percent,0.7154,0.2846,0.0,0.4308
4,1,0.7,percent,0.7154,0.2846,0.0,0.4308
4,1,0.7,percent,0.7154,0.2846,0.0,0.4308
4,1,0.7,percent,0.7154,0.2846,0.0,0.4308
4,1,0.7,percent,0.7154,0.2846,0.0,0.4308
5,1,0.7,flat,0.7221,0.2779,0.0,0.4442
5,1,0.95,flat,0.5194,0.4806,0.0,0.038799999999999946
5,1,0.9,flat,0.5194,0.4806,0.0,0.038799999999999946
5,1,0.8,flat,0.5194,0.4806,0.0,0.038799999999999946
5,2,0.95,flat,0.5194,0.4806,0.0,0.038799999999999946
5,1,0.7,percent,0.7221,0.2779,0.0,0.4442
5,1,0.7,percent,0.7221,0.2779,0.0,0.4442
5,1,0.7,percent,0.7221,0.2779,0.0,0.4442
5,1,0.7,percent,0.7221,0.2779,0.0,0.4442
5,1,0.7,percent,0.7221,0.2779,0.0,0.4442
