bankroll,bet,stop_loss,mode,success_rate,fail_rate,neutral_rate,score
100,3,0.8,flat,0.4489795918367347,0.5510204081632653,0.0,-0.10204081632653056
100,4,0.7,flat,0.4477791116446579,0.5522208883553421,0.0,-0.10444177671068422
100,5,0.8,flat,0.44537815126050423,0.5546218487394958,0.0,-0.1092436974789916
100,3,0.9,flat,0.43577430972388953,0.5642256902761105,0.0,-0.12845138055222094
100,3,0.7,flat,0.43337334933973587,0.5666266506602641,0.0,-0.1332533013205282
100,5,0.7,percent,0.47418967587034816,0.5258103241296519,0.0,-0.051620648259303736
100,6,0.7,percent,0.4669867947178872,0.5330132052821128,0.0,-0.06602641056422565
100,3,0.8,percent,0.4525810324129652,0.5474189675870348,0.0,-0.09483793517406958
100,6,0.8,percent,0.45138055222088835,0.5486194477791116,0.0,-0.09723889555822329
100,8,0.7,percent,0.4477791116446579,0.5522208883553421,0.0,-0.10444177671068422
101,3,0.7,flat,0.4765906362545018,0.5234093637454982,0.0,-0.04681872749099636
101,5,0.8,flat,0.46938775510204084,0.5306122448979592,0.0,-0.06122448979591838
101,5,0.7,flat,0.4561824729891957,0.5438175270108043,0.0,-0.08763505402160865
101,4,0.7,flat,0.44417767106842737,0.5558223289315727,0.0,-0.11164465786314531
101,3,0.9,flat,0.4417767106842737,0.5582232893157263,0.0,-0.11644657863145258
101,6,0.7,percent,0.4801920768307323,0.5198079231692677,0.0,-0.03961584633853543
101,3,0.8,percent,0.46938775510204084,0.5306122448979592,0.0,-0.06122448979591838
101,5,0.8,percent,0.4657863145258103,0.5342136854741897,0.0,-0.06842737094837936
101,3,0.7,percent,0.45858343337334934,0.5414165666266506,0.0,-0.08283313325330127
101,10,0.8,percent,0.4549819927971189,0.5450180072028812,0.0,-0.09003601440576231
102,5,0.7,flat,0.464,0.536,0.0,-0.07200000000000001
102,5,0.8,flat,0.454,0.546,0.0,-0.09200000000000003
102,4,0.7,flat,0.447,0.553,0.0,-0.10600000000000004
102,3,0.9,flat,0.446,0.554,0.0,-0.10800000000000004
102,3,0.8,flat,0.442,0.558,0.0,-0.11600000000000005
102,4,0.7,percent,0.473,0.527,0.0,-0.05400000000000005
102,3,0.7,percent,0.464,0.536,0.0,-0.07200000000000001
102,5,0.7,percent,0.464,0.536,0.0,-0.07200000000000001
102,4,0.8,percent,0.463,0.537,0.0,-0.07400000000000001
102,3,0.9,percent,0.458,0.542,0.0,-0.08400000000000002
103,3,0.7,flat,0.472,0.528,0.0,-0.05600000000000005
103,3,0.9,flat,0.465,0.535,0.0,-0.07
103,4,0.7,flat,0.464,0.536,0.0,-0.07200000000000001
103,5,0.8,flat,0.456,0.544,0.0,-0.08800000000000002
103,5,0.7,flat,0.451,0.549,0.0,-0.09800000000000003
103,6,0.7,percent,0.474,0.526,0.0,-0.052000000000000046
103,4,0.7,percent,0.466,0.534,0.0,-0.068
103,7,0.7,percent,0.464,0.536,0.0,-0.07200000000000001
103,3,0.9,percent,0.46,0.54,0.0,-0.08000000000000002
103,5,0.9,percent,0.46,0.54,0.0,-0.08000000000000002
104,4,0.7,flat,0.469,0.531,0.0,-0.062000000000000055
104,3,0.8,flat,0.463,0.537,0.0,-0.07400000000000001
104,4,0.8,flat,0.462,0.538,0.0,-0.07600000000000001
104,3,0.9,flat,0.459,0.541,0.0,-0.08200000000000002
104,5,0.9,flat,0.454,0.546,0.0,-0.09200000000000003
104,4,0.8,percent,0.484,0.516,0.0,-0.03200000000000003
104,6,0.7,percent,0.456,0.544,0.0,-0.08800000000000002
104,5,0.7,percent,0.455,0.545,0.0,-0.09000000000000002
104,4,0.7,percent,0.453,0.547,0.0,-0.09400000000000003
104,7,0.7,percent,0.452,0.548,0.0,-0.09600000000000003
105,3,0.8,flat,0.479,0.521,0.0,-0.04200000000000004
105,3,0.7,flat,0.461,0.539,0.0,-0.07800000000000001
105,5,0.7,flat,0.457,0.543,0.0,-0.08600000000000002
105,4,0.8,flat,0.454,0.546,0.0,-0.09200000000000003
