bankroll,bet,stop_loss,mode,success_rate,fail_rate,neutral_rate,score
134,1,0.95,basic-flat,0.38496,0.61504,0.0,-0.23008
134,1,0.9,basic-flat,0.45248,0.5168,0.03072,-0.06432
134,1,0.8,basic-flat,0.46464,0.24416,0.2912,0.22048
134,1,0.7,basic-flat,0.46464,0.05856,0.4768,0.40608
134,2,0.95,basic-flat,0.43328,0.56672,0.0,-0.13344
134,2,0.9,basic-flat,0.54752,0.45248,0.0,0.09504
134,2,0.8,basic-flat,0.61536,0.37248,0.01216,0.24288
134,2,0.7,basic-flat,0.62848,0.28224,0.08928,0.34624
134,3,0.95,basic-flat,0.49664,0.50336,0.0,-0.00672
134,3,0.9,basic-flat,0.6016,0.3984,0.0,0.2032
134,3,0.8,basic-flat,0.6896,0.3104,0.0,0.3792
134,3,0.7,basic-flat,0.72704,0.2688,0.00416,0.45824
134,4,0.95,basic-flat,0.41856,0.58144,0.0,-0.16288
134,4,0.9,basic-flat,0.55808,0.44192,0.0,0.11616
134,4,0.8,basic-flat,0.66272,0.33728,0.0,0.32544
134,4,0.7,basic-flat,0.70368,0.29632,0.0,0.40736
134,5,0.95,basic-flat,0.56416,0.43584,0.0,0.12832
134,5,0.9,basic-flat,0.6432,0.3568,0.0,0.2864
134,5,0.8,basic-flat,0.74912,0.25088,0.0,0.49824
134,5,0.7,basic-flat,0.78848,0.21152,0.0,0.57696
134,1,0.95,basic-percent,0.38496,0.61504,0.0,-0.23008
134,1,0.9,basic-percent,0.45248,0.5168,0.03072,-0.06432
134,1,0.8,basic-percent,0.46464,0.24416,0.2912,0.22048
134,1,0.7,basic-percent,0.46464,0.05856,0.4768,0.40608
134,2,0.95,basic-percent,0.43328,0.56672,0.0,-0.13344
134,2,0.9,basic-percent,0.54752,0.45248,0.0,0.09504
134,2,0.8,basic-percent,0.61536,0.37248,0.01216,0.24288
134,2,0.7,basic-percent,0.62848,0.28224,0.08928,0.34624
134,4,0.95,basic-percent,0.41856,0.58144,0.0,-0.16288
134,4,0.9,basic-percent,0.55808,0.44192,0.0,0.11616
134,4,0.8,basic-percent,0.66272,0.33728,0.0,0.32544
134,4,0.7,basic-percent,0.70368,0.29632,0.0,0.40736
134,5,0.95,basic-percent,0.56416,0.43584,0.0,0.12832
